"Logs of specific products","Logs of specific products"
"Date bought","Date bought"
"SKU","SKU"
"Product ID","Product ID"
"Product name","Product name"
"Price","Price"
"Quantity","Quantity"
"At the moment logging products with SKU: <span>%s</span>.","At the moment logging products with SKU: <span>%s</span>."
"Filter","Filter"
"No products logged within the chosen interval.","No products logged within the chosen interval."
"No products logged so far.","No products logged so far."
"date from","date from"
"date to","date to"
"Row ID","Row ID"
"Action","Action"
"Edit","Edit"
"General","General"
"An error occurred while saving the entry.","An error occurred while saving the entry."
"The row has been deleted.","The row has been deleted."
"Edit entry","Edit entry"
"This entry does not exist.","This entry does not exist."
"New log entry","New log entry"
"The row has been saved.","The row has been saved."
"Edit logs","Edit logs"
"Save","Save"
"Delete","Delete"
"New","New"